time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00277,-2.253,2.215,0.00
0.01296,-2.253,2.215,0.00
0.02389,-2.251,2.210,0.00
0.03434,-2.251,2.210,0.00
0.04455,-2.251,2.210,0.00
0.05519,-2.246,2.206,0.00
0.06535,-2.243,2.200,0.00
0.07627,-2.243,2.200,0.00
0.08664,-2.247,2.197,0.00
0.09699,-2.250,2.196,0.00
0.10715,-2.250,2.196,0.00
0.11748,-2.246,2.195,0.00
0.12809,-2.246,2.195,0.00
0.13905,-2.240,2.197,0.00
0.14921,-2.240,2.197,0.00
0.15937,-2.240,2.197,0.00
0.17000,-2.230,2.196,0.00
0.18034,-2.219,2.205,0.00
0.19050,-2.219,2.205,0.00
0.20141,-2.210,2.221,0.00
0.21185,-2.210,2.221,0.00
0.22209,-2.200,2.229,0.00
0.23242,-2.200,2.229,0.00
0.24266,-2.189,2.244,0.00
0.25317,-2.189,2.244,0.00
0.26333,-2.175,2.257,0.00
0.27350,-2.175,2.257,0.00
0.28366,-2.175,2.272,0.00
0.29535,-2.162,2.292,0.00
0.30927,-2.153,2.292,0.00
0.31943,-2.153,2.314,0.00
0.32960,-2.144,2.314,0.00
0.34043,-2.137,2.327,0.00
0.35060,-2.137,2.327,0.00
0.36079,-2.130,2.332,0.00
0.37123,-2.130,2.332,0.00
0.38189,-2.127,2.343,0.00
0.39226,-2.127,2.343,0.00
0.40246,-2.127,2.343,0.00
0.41269,-2.127,2.360,0.00
0.42311,-2.131,2.375,0.00
0.43328,-2.131,2.375,0.00
0.44347,-2.134,2.395,0.00
0.45364,-2.134,2.395,0.00
0.46379,-2.143,2.417,0.00
0.47521,-2.143,2.436,0.00
0.48538,-2.153,2.436,0.00
0.49554,-2.153,2.436,0.00
0.50573,-2.170,2.448,0.00
0.51589,-2.201,2.448,0.00
0.52606,-2.201,2.468,0.00
0.53625,-2.201,2.468,0.00
0.54643,-2.248,2.483,0.00
0.55659,-2.248,2.483,0.00
0.56676,-2.305,2.490,0.00
0.57691,-2.305,2.490,0.00
0.58708,-2.373,2.492,0.00
0.59724,-2.373,2.503,0.00
0.60741,-2.442,2.503,0.00
0.61758,-2.524,2.513,0.00
0.62774,-2.524,2.513,0.00
0.63901,-2.524,2.513,0.00
0.64920,-2.610,2.524,0.00
0.66043,-2.610,2.524,0.00
0.67059,-2.691,2.529,0.00
0.68075,-2.767,2.535,0.00
0.69093,-2.767,2.535,0.00
0.70127,-2.767,2.535,0.00
0.71196,-2.834,2.546,0.00
0.72287,-2.888,2.554,0.00
0.73309,-2.888,2.554,0.00
0.74347,-2.936,2.561,0.00
0.75365,-2.936,2.561,0.00
0.76381,-2.976,2.563,0.00
0.77405,-2.976,2.563,0.00
0.78473,-3.007,2.566,0.00
0.79489,-3.007,2.566,0.00
0.80506,-3.007,2.566,0.00
0.81563,-3.034,2.552,0.00
0.82580,-3.055,2.516,0.00
0.83599,-3.055,2.476,0.00
0.84615,-3.073,2.476,0.00
0.85632,-3.073,2.476,0.00
0.86647,-3.085,2.446,0.00
0.87663,-3.093,2.409,0.00
0.88679,-3.093,2.409,0.00
0.89718,-3.097,2.373,0.00
0.90755,-3.097,2.373,0.00
0.91871,-3.096,2.329,0.00
0.92905,-3.096,2.329,0.00
0.93941,-3.094,2.280,0.00
0.94967,-3.094,2.280,0.00
0.96015,-3.091,2.231,0.00
0.97052,-3.091,2.231,0.00
0.98120,-3.088,2.191,0.00
0.99151,-3.088,2.191,0.00
1.00212,-3.088,2.191,0.00
1.01244,-3.081,2.152,0.00
1.02272,-3.070,2.106,0.00
1.03329,-3.070,2.053,0.00
1.04363,-3.055,2.053,0.00
1.05404,-3.037,2.009,0.00
1.06438,-3.037,2.009,0.00
1.07482,-3.037,1.964,0.00
1.08531,-3.018,1.964,0.00
1.09546,-3.018,1.964,0.00
1.10563,-2.998,1.917,0.00
1.11583,-2.998,1.917,0.00
1.12599,-2.978,1.872,0.00
1.13625,-2.978,1.872,0.00
1.14657,-2.958,1.826,0.00
1.15706,-2.958,1.826,0.00
1.16737,-2.938,1.785,0.00
1.17771,-2.938,1.785,0.00
1.18802,-2.914,1.753,0.00
1.19843,-2.887,1.753,0.00
1.20866,-2.887,1.722,0.00
1.21883,-2.857,1.722,0.00
1.22901,-2.857,1.699,0.00
1.23917,-2.827,1.699,0.00
1.24934,-2.827,1.677,0.00
1.25950,-2.795,1.657,0.00
1.26995,-2.795,1.657,0.00
1.28032,-2.761,1.639,0.00
1.29075,-2.761,1.639,0.00
1.30117,-2.729,1.639,0.00
1.31143,-2.729,1.629,0.00
1.32168,-2.704,1.616,0.00
1.33217,-2.704,1.616,0.00
1.34249,-2.675,1.609,0.00
1.35290,-2.675,1.609,0.00
1.36318,-2.649,1.609,0.00
1.37492,-2.649,1.609,0.00
1.38519,-2.628,1.611,0.00
1.39534,-2.613,1.611,0.00
1.40549,-2.613,1.619,0.00
1.41564,-2.607,1.619,0.00
1.42580,-2.607,1.634,0.00
1.43597,-2.608,1.654,0.00
1.44612,-2.608,1.654,0.00
1.45636,-2.611,1.669,0.00
1.46689,-2.611,1.669,0.00
1.47723,-2.611,1.669,0.00
1.48786,-2.620,1.680,0.00
1.49833,-2.631,1.695,0.00
1.50858,-2.631,1.695,0.00
1.51889,-2.646,1.710,0.00
1.52907,-2.646,1.710,0.00
1.53941,-2.646,1.721,0.00
1.54974,-2.659,1.721,0.00
1.56006,-2.668,1.728,0.00
1.57057,-2.668,1.728,0.00
1.58084,-2.668,1.732,0.00
1.59109,-2.674,1.732,0.00
1.60135,-2.681,1.731,0.00
1.61150,-2.681,1.731,0.00
1.62164,-2.681,1.729,0.00
1.63258,-2.687,1.729,0.00
1.64348,-2.695,1.725,0.00
1.65364,-2.695,1.706,0.00
1.66380,-2.703,1.706,0.00
1.67398,-2.712,1.706,0.00
1.68416,-2.712,1.685,0.00
1.69436,-2.727,1.685,0.00
1.70451,-2.727,1.669,0.00
1.71468,-2.727,1.669,0.00
1.72483,-2.727,1.650,0.00
1.73525,-2.745,1.650,0.00
1.74547,-2.768,1.626,0.00
1.75567,-2.768,1.626,0.00
1.76584,-2.793,1.590,0.00
1.77605,-2.793,1.590,0.00
1.78636,-2.822,1.552,0.00
1.79652,-2.855,1.515,0.00
1.80667,-2.855,1.515,0.00
1.81698,-2.855,1.515,0.00
1.82714,-2.891,1.515,0.00
1.83730,-2.891,1.443,0.00
1.84748,-2.932,1.443,0.00
1.85764,-2.974,1.420,0.00
1.86779,-2.974,1.420,0.00
1.87798,-3.013,1.408,0.00
1.88813,-3.013,1.408,0.00
1.89836,-3.050,1.406,0.00
1.90851,-3.050,1.406,0.00
1.91867,-3.087,1.407,0.00
1.92883,-3.087,1.407,0.00
1.93899,-3.123,1.415,0.00
1.94915,-3.123,1.415,0.00
1.95936,-3.157,1.428,0.00
1.96968,-3.157,1.428,0.00
1.97984,-3.184,1.447,0.00
1.99000,-3.184,1.447,0.00
2.00029,-3.213,1.480,0.00
2.01040,-3.213,1.480,0.00
2.02073,-3.213,1.480,0.00
2.03091,-3.237,1.512,0.00
2.04115,-3.258,1.540,0.00
2.05131,-3.258,1.540,0.00
2.06146,-3.274,1.561,0.00
2.07203,-3.274,1.561,0.00
2.08181,-3.282,1.592,0.00
2.09201,-3.282,1.592,0.00
2.10228,-3.285,1.625,0.00
2.11241,-3.285,1.625,0.00
2.12261,-3.279,1.653,0.00
2.13280,-3.279,1.653,0.00
2.14298,-3.266,1.674,0.00
2.15314,-3.266,1.674,0.00
2.16330,-3.246,1.674,0.00
2.17348,-3.246,1.705,0.00
2.18365,-3.203,1.735,0.00
2.19391,-3.203,1.735,0.00
2.20426,-3.141,1.765,0.00
2.21442,-3.141,1.765,0.00
2.22486,-3.066,1.797,0.00
2.23531,-3.066,1.797,0.00
2.24549,-2.990,1.817,0.00
2.25566,-2.916,1.817,0.00
2.26583,-2.916,1.837,0.00
2.27599,-2.839,1.837,0.00
2.28663,-2.839,1.852,0.00
2.29679,-2.770,1.852,0.00
2.30694,-2.770,1.861,0.00
2.31743,-2.715,1.861,0.00
2.32772,-2.715,1.866,0.00
2.33787,-2.686,1.866,0.00
2.34803,-2.686,1.860,0.00
2.35824,-2.674,1.846,0.00
2.36855,-2.674,1.846,0.00
2.37941,-2.683,1.835,0.00
2.38981,-2.683,1.835,0.00
2.39993,-2.683,1.835,0.00
2.41015,-2.713,1.829,0.00
2.42026,-2.754,1.844,0.00
2.43041,-2.754,1.844,0.00
2.44057,-2.799,1.855,0.00
2.45085,-2.799,1.855,0.00
2.46101,-2.845,1.863,0.00
2.47223,-2.845,1.863,0.00
2.48239,-2.903,1.864,0.00
2.49255,-2.903,1.864,0.00
2.50270,-2.957,1.862,0.00
2.51298,-2.957,1.862,0.00
2.52313,-3.003,1.857,0.00
2.53362,-3.003,1.857,0.00
2.54380,-3.003,1.853,0.00
2.55437,-3.043,1.853,0.00
2.56455,-3.080,1.844,0.00
2.57499,-3.080,1.826,0.00
2.58521,-3.120,1.826,0.00
2.59552,-3.120,1.826,0.00
2.60605,-3.120,1.811,0.00
2.61621,-3.168,1.797,0.00
2.62678,-3.223,1.797,0.00
2.63726,-3.223,1.773,0.00
2.64743,-3.273,1.773,0.00
2.65764,-3.273,1.750,0.00
2.66780,-3.302,1.750,0.00
2.67801,-3.311,1.723,0.00
2.68816,-3.311,1.723,0.00
2.69843,-3.311,1.691,0.00
2.70871,-3.311,1.691,0.00
2.72019,-3.311,1.691,0.00
2.73035,-3.323,1.653,0.00
2.74058,-3.345,1.613,0.00
2.75108,-3.345,1.613,0.00
2.76125,-3.354,1.561,0.00
2.77141,-3.354,1.561,0.00
2.78181,-3.347,1.520,0.00
2.79210,-3.347,1.520,0.00
2.80245,-3.333,1.476,0.00
2.81261,-3.333,1.476,0.00
2.82340,-3.313,1.422,0.00
2.83378,-3.313,1.422,0.00
2.84405,-3.290,1.367,0.00
2.85511,-3.290,1.305,0.00
2.86528,-3.272,1.305,0.00
2.87547,-3.272,1.305,0.00
2.88562,-3.265,1.248,0.00
2.89587,-3.265,1.248,0.00
2.90603,-3.261,1.190,0.00
2.91623,-3.241,1.114,0.00
2.92651,-3.241,1.114,0.00
2.93667,-3.182,1.010,0.00
2.94683,-3.182,1.010,0.00
2.95698,-3.085,0.899,0.00
2.96717,-3.085,0.899,0.00
2.97737,-3.085,0.802,0.00
2.98753,-2.924,0.802,0.00
2.99768,-2.924,0.744,0.00
3.00801,-2.657,0.744,0.00
3.01921,-2.354,0.715,0.00
3.02937,-2.354,0.715,0.00
3.03971,-2.062,0.678,0.00
3.04987,-2.062,0.678,0.00
3.06003,-1.814,0.638,0.00
3.07044,-1.814,0.638,0.00
3.08060,-1.647,0.611,0.00
3.09091,-1.647,0.611,0.00
3.10117,-1.537,0.547,0.00
3.11159,-1.537,0.547,0.00
3.12176,-1.469,0.407,0.00
3.13192,-1.469,0.407,0.00
3.14208,-1.422,0.407,0.00
3.15265,-1.422,0.178,0.00
3.16292,-1.370,-0.073,0.00
3.17658,-1.370,-0.073,0.00
3.18673,-1.284,-0.339,0.00
3.19711,-1.284,-0.586,0.00
3.20733,-1.191,-0.586,0.00
3.21749,-1.191,-0.586,0.00
3.22772,-1.096,-0.790,0.00
3.23878,-0.999,-0.956,0.00
3.24893,-0.999,-0.956,0.00
3.25909,-0.999,-1.068,0.00
3.26943,-0.931,-1.068,0.00
3.27959,-0.832,-1.108,0.00
3.28975,-0.832,-1.108,0.00
3.29993,-0.842,-1.211,0.00
3.31011,-0.842,-1.211,0.00
3.32049,-0.854,-1.323,0.00
3.33130,-0.854,-1.323,0.00
3.34149,-0.877,-1.437,0.00
3.35163,-0.877,-1.437,0.00
3.36188,-0.901,-1.562,0.00
3.37213,-0.901,-1.562,0.00
3.38261,-0.924,-1.685,0.00
3.39288,-0.924,-1.685,0.00
3.40361,-0.931,-1.807,0.00
3.41376,-0.933,-1.807,0.00
3.42395,-0.933,-1.907,0.00
3.43415,-0.942,-1.907,0.00
3.44441,-0.942,-1.983,0.00
3.45493,-0.942,-1.983,0.00
3.46523,-0.961,-2.060,0.00
3.47558,-0.993,-2.060,0.00
3.48575,-0.993,-2.146,0.00
3.49591,-0.993,-2.146,0.00
3.50607,-1.034,-2.271,0.00
3.51623,-1.034,-2.436,0.00
3.52639,-1.065,-2.436,0.00
3.53666,-1.053,-2.617,0.00
3.54683,-1.053,-2.617,0.00
3.55706,-1.053,-2.617,0.00
3.56785,-0.955,-2.789,0.00
3.57886,-0.741,-2.954,0.00
3.58916,-0.741,-2.954,0.00
3.59935,-0.397,-3.098,0.00
3.60950,-0.397,-3.098,0.00
3.61973,-0.105,-3.219,0.00
3.62988,-0.105,-3.219,0.00
3.64022,0.236,-3.281,0.00
3.65062,0.236,-3.281,0.00
3.66099,0.598,-3.318,0.00
3.67126,0.598,-3.318,0.00
3.68248,0.903,-3.338,0.00
3.69324,0.903,-3.338,0.00
3.70353,1.172,-3.307,0.00
3.71484,1.172,-3.307,0.00
3.72500,1.424,-3.204,0.00
3.73515,1.424,-3.204,0.00
3.74531,1.666,-3.051,0.00
3.75561,1.666,-3.051,0.00
3.76577,1.817,-2.908,0.00
3.77594,1.866,-2.837,0.00
3.78610,1.866,-2.837,0.00
3.79691,1.866,-2.837,0.00
3.80719,1.803,-2.856,0.00
3.81762,1.670,-2.900,0.00
3.82778,1.670,-2.900,0.00
3.83847,1.506,-2.979,0.00
3.84863,1.506,-2.979,0.00
3.85901,1.305,-3.091,0.00
3.86943,1.305,-3.091,0.00
3.87960,1.086,-3.174,0.00
3.89013,1.086,-3.174,0.00
3.90038,0.861,-3.225,0.00
3.91159,0.861,-3.225,0.00
3.92183,0.654,-3.247,0.00
3.93219,0.654,-3.247,0.00
3.94238,0.492,-3.191,0.00
3.95268,0.492,-3.191,0.00
3.96283,0.368,-3.166,0.00
3.97297,0.368,-3.166,0.00
3.98313,0.290,-3.186,0.00
3.99334,0.290,-3.186,0.00
4.00350,0.268,-3.252,0.00
4.01369,0.268,-3.252,0.00
4.02386,0.288,-3.351,0.00
4.03403,0.288,-3.351,0.00
4.04426,0.342,-3.448,0.00
4.05474,0.390,-3.556,0.00
4.06523,0.390,-3.556,0.00
4.07549,0.390,-3.556,0.00
4.08581,0.393,-3.649,0.00
4.09631,0.393,-3.649,0.00
4.10656,0.358,-3.742,0.00
4.11671,0.358,-3.882,0.00
4.12692,0.266,-3.882,0.00
4.13716,0.266,-3.882,0.00
4.14742,0.147,-4.019,0.00
4.15766,0.039,-4.121,0.00
4.16796,0.039,-4.121,0.00
4.17847,-0.058,-4.196,0.00
4.18834,-0.058,-4.196,0.00
4.19851,-0.171,-4.248,0.00
4.20866,-0.171,-4.248,0.00
4.21896,-0.171,-4.248,0.00
4.22911,-0.291,-4.281,0.00
4.23928,-0.410,-4.317,0.00
4.24944,-0.410,-4.317,0.00
4.25961,-0.532,-4.371,0.00
4.27012,-0.532,-4.371,0.00
4.28043,-0.667,-4.455,0.00
4.29083,-0.667,-4.455,0.00
4.30121,-0.814,-4.558,0.00
4.31232,-0.814,-4.558,0.00
4.32248,-0.986,-4.702,0.00
4.33274,-0.986,-4.702,0.00
4.34323,-1.181,-4.852,0.00
4.35357,-1.181,-4.852,0.00
4.36373,-1.379,-4.969,0.00
4.37389,-1.379,-4.969,0.00
4.38418,-1.575,-5.063,0.00
4.39431,-1.575,-5.063,0.00
4.40456,-1.750,-5.113,0.00
4.41763,-1.884,-5.124,0.00
4.42777,-1.884,-5.124,0.00
4.43809,-1.961,-5.167,0.00
4.44837,-1.961,-5.167,0.00
4.45867,-1.992,-5.167,0.00
4.46885,-1.992,-5.254,0.00
4.47913,-1.992,-5.254,0.00
4.48928,-1.982,-5.386,0.00
4.49944,-1.982,-5.386,0.00
4.50959,-1.963,-5.521,0.00
4.51975,-1.944,-5.634,0.00
4.52990,-1.944,-5.634,0.00
4.54005,-1.957,-5.752,0.00
4.55045,-1.957,-5.752,0.00
4.56066,-2.020,-5.874,0.00
4.57090,-2.020,-5.874,0.00
4.58115,-2.128,-5.977,0.00
4.59129,-2.128,-5.977,0.00
4.60162,-2.243,-6.012,0.00
4.61181,-2.243,-6.012,0.00
4.62206,-2.345,-5.985,0.00
4.63220,-2.345,-5.985,0.00
4.64235,-2.422,-5.985,0.00
4.65264,-2.422,-5.904,0.00
4.66286,-2.475,-5.805,0.00
4.67320,-2.475,-5.805,0.00
4.68339,-2.502,-5.694,0.00
4.69378,-2.536,-5.694,0.00
4.70394,-2.536,-5.597,0.00
4.71411,-2.536,-5.597,0.00
4.72427,-2.587,-5.513,0.00
4.73455,-2.587,-5.513,0.00
4.74480,-2.657,-5.494,0.00
4.75495,-2.657,-5.494,0.00
4.76520,-2.741,-5.461,0.00
4.77662,-2.834,-5.367,0.00
4.78677,-2.834,-5.367,0.00
4.79735,-2.924,-5.210,0.00
4.80750,-2.924,-5.210,0.00
4.81911,-2.983,-5.001,0.00
4.82962,-2.983,-5.001,0.00
4.84041,-2.996,-4.767,0.00
4.85079,-2.996,-4.767,0.00
4.86111,-2.996,-4.512,0.00
4.87140,-2.961,-4.512,0.00
4.88181,-2.890,-4.281,0.00
4.89216,-2.890,-4.281,0.00
4.90244,-2.792,-4.281,0.00
4.91261,-2.792,-4.098,0.00
4.92275,-2.682,-3.961,0.00
4.93290,-2.682,-3.961,0.00
4.94305,-2.548,-3.871,0.00
4.95320,-2.548,-3.871,0.00
4.96335,-2.396,-3.784,0.00
4.97350,-2.396,-3.784,0.00
4.98365,-2.228,-3.685,0.00
4.99380,-2.228,-3.685,0.00
5.00394,-2.065,-3.566,0.00
5.01409,-2.065,-3.566,0.00
5.02435,-1.865,-3.426,0.00
5.03450,-1.865,-3.426,0.00
5.04466,-1.656,-3.306,0.00
5.05483,-1.656,-3.221,0.00
5.06499,-1.458,-3.221,0.00
5.07514,-1.458,-3.196,0.00
5.08539,-1.313,-3.196,0.00
5.09569,-1.313,-3.196,0.00
5.10585,-1.220,-3.200,0.00
5.11612,-1.181,-3.200,0.00
5.12637,-1.181,-3.188,0.00
5.13651,-1.206,-3.148,0.00
5.14669,-1.206,-3.148,0.00
5.15686,-1.293,-3.091,0.00
5.16702,-1.293,-3.091,0.00
5.17718,-1.426,-3.048,0.00
5.18732,-1.426,-3.048,0.00
5.19781,-1.596,-3.039,0.00
5.20796,-1.596,-3.039,0.00
5.21828,-1.596,-3.044,0.00
5.22845,-1.789,-3.044,0.00
5.23894,-1.973,-3.088,0.00
5.24911,-1.973,-3.088,0.00
5.25928,-2.115,-3.150,0.00
5.26947,-2.115,-3.150,0.00
5.27969,-2.191,-3.253,0.00
5.28985,-2.191,-3.253,0.00
5.30002,-2.191,-3.253,0.00
5.31074,-2.217,-3.399,0.00
5.32090,-2.234,-3.568,0.00
5.33110,-2.234,-3.568,0.00
5.34126,-2.262,-3.711,0.00
5.35243,-2.262,-3.711,0.00
5.36261,-2.280,-3.830,0.00
5.37302,-2.280,-3.830,0.00
5.38317,-2.287,-3.901,0.00
5.39333,-2.287,-3.923,0.00
5.40352,-2.294,-3.923,0.00
5.41395,-2.294,-3.923,0.00
5.42417,-2.300,-3.863,0.00
5.43477,-2.300,-3.754,0.00
5.44499,-2.318,-3.754,0.00
5.45537,-2.318,-3.754,0.00
5.46583,-2.346,-3.587,0.00
5.47599,-2.361,-3.587,0.00
5.48614,-2.361,-3.391,0.00
5.49629,-2.370,-3.391,0.00
5.50644,-2.370,-3.156,0.00
5.51679,-2.381,-3.156,0.00
5.52703,-2.381,-2.870,0.00
5.53739,-2.396,-2.569,0.00
5.54772,-2.396,-2.569,0.00
5.55834,-2.418,-2.251,0.00
5.56849,-2.418,-2.251,0.00
5.57865,-2.418,-1.992,0.00
5.58881,-2.449,-1.992,0.00
5.59895,-2.486,-1.748,0.00
5.60910,-2.486,-1.748,0.00
5.61925,-2.525,-1.549,0.00
5.62948,-2.525,-1.549,0.00
5.63993,-2.544,-1.388,0.00
5.64996,-2.544,-1.388,0.00
5.66022,-2.547,-1.268,0.00
5.67043,-2.547,-1.268,0.00
5.68059,-2.545,-1.187,0.00
5.69076,-2.545,-1.187,0.00
5.70097,-2.543,-1.123,0.00
5.71114,-2.543,-1.123,0.00
5.72130,-2.535,-1.069,0.00
5.73167,-2.535,-1.069,0.00
5.74195,-2.522,-1.005,0.00
5.75381,-2.522,-1.005,0.00
5.76417,-2.501,-0.964,0.00
5.77469,-2.501,-0.964,0.00
5.78488,-2.501,-0.945,0.00
5.79505,-2.467,-0.945,0.00
5.80520,-2.417,-0.946,0.00
5.81621,-2.417,-0.946,0.00
5.82670,-2.351,-0.963,0.00
5.83686,-2.351,-0.963,0.00
5.84702,-2.351,-0.963,0.00
5.85717,-2.160,-1.012,0.00
5.86730,-2.160,-1.012,0.00
5.87748,-2.160,-1.012,0.00
5.88764,-2.160,-1.012,0.00
5.89932,-2.044,-1.028,0.00
5.90950,-1.924,-1.044,0.00
5.91971,-1.813,-1.047,0.00
5.92986,-1.813,-1.047,0.00
5.94003,-1.718,-1.046,0.00
5.95030,-1.718,-1.046,0.00
5.96090,-1.641,-1.036,0.00
5.97109,-1.641,-1.036,0.00
5.98124,-1.582,-1.037,0.00
5.99227,-1.582,-1.037,0.00
6.00251,-1.531,-1.043,0.00
6.01267,-1.531,-1.043,0.00
6.02289,-1.531,-1.043,0.00
6.03344,-1.482,-1.040,0.00
6.04360,-1.430,-1.033,0.00
6.05375,-1.430,-1.002,0.00
6.06391,-1.385,-1.002,0.00
6.07489,-1.385,-0.937,0.00
6.08504,-1.353,-0.937,0.00
6.09520,-1.353,-0.937,0.00
6.10535,-1.328,-0.837,0.00
6.11551,-1.308,-0.837,0.00
6.12566,-1.308,-0.714,0.00
6.13584,-1.308,-0.714,0.00
6.14658,-1.293,-0.574,0.00
6.15674,-1.282,-0.425,0.00
6.16690,-1.282,-0.425,0.00
6.17707,-1.271,-0.270,0.00
6.18723,-1.271,-0.270,0.00
6.19742,-1.271,-0.270,0.00
6.20758,-1.253,-0.120,0.00
6.21773,-1.253,-0.120,0.00
6.22891,-1.253,-0.120,0.00
6.23908,-1.232,0.151,0.00
6.24923,-1.199,0.151,0.00
6.25977,-1.169,0.260,0.00
6.27049,-1.169,0.260,0.00
6.28073,-1.146,0.359,0.00
6.29116,-1.146,0.359,0.00
6.30154,-1.134,0.448,0.00
6.31383,-1.134,0.448,0.00
6.32408,-1.145,0.523,0.00
6.33651,-1.166,0.581,0.00
6.34665,-1.166,0.581,0.00
6.35705,-1.187,0.581,0.00
6.36719,-1.187,0.625,0.00
6.37775,-1.187,0.625,0.00
6.38813,-1.209,0.658,0.00
6.39831,-1.227,0.671,0.00
6.40847,-1.227,0.671,0.00
6.41863,-1.240,0.675,0.00
6.42885,-1.240,0.675,0.00
6.43901,-1.240,0.670,0.00
6.44921,-1.246,0.670,0.00
6.45981,-1.242,0.666,0.00
6.46997,-1.242,0.666,0.00
6.48016,-1.232,0.661,0.00
6.49031,-1.232,0.661,0.00
6.50065,-1.212,0.648,0.00
6.51089,-1.212,0.648,0.00
6.52104,-1.192,0.643,0.00
6.53120,-1.192,0.643,0.00
6.54153,-1.172,0.636,0.00
6.55174,-1.172,0.636,0.00
6.56190,-1.149,0.626,0.00
6.57205,-1.149,0.626,0.00
6.58241,-1.129,0.594,0.00
6.59261,-1.129,0.594,0.00
6.60274,-1.116,0.543,0.00
6.61295,-1.116,0.543,0.00
6.62311,-1.113,0.489,0.00
6.63327,-1.113,0.489,0.00
6.64363,-1.122,0.453,0.00
6.65492,-1.122,0.453,0.00
6.66563,-1.136,0.443,0.00
6.67587,-1.147,0.443,0.00
6.68631,-1.147,0.454,0.00
6.69650,-1.147,0.454,0.00
6.70666,-1.151,0.472,0.00
6.71699,-1.151,0.472,0.00
6.72708,-1.151,0.496,0.00
6.73724,-1.151,0.496,0.00
6.74740,-1.147,0.522,0.00
6.75756,-1.147,0.553,0.00
6.76772,-1.142,0.553,0.00
6.77787,-1.142,0.553,0.00
6.78817,-1.142,0.599,0.00
6.79836,-1.143,0.662,0.00
6.80853,-1.143,0.662,0.00
6.81900,-1.155,0.728,0.00
6.82916,-1.155,0.728,0.00
6.83957,-1.166,0.788,0.00
6.84973,-1.166,0.788,0.00
6.85990,-1.176,0.839,0.00
6.87027,-1.176,0.839,0.00
6.88034,-1.185,0.866,0.00
6.89062,-1.185,0.866,0.00
6.90085,-1.187,0.877,0.00
6.91101,-1.187,0.877,0.00
6.92119,-1.187,0.883,0.00
6.93141,-1.187,0.883,0.00
6.94204,-1.187,0.883,0.00
6.95298,-1.187,0.888,0.00
6.96314,-1.186,0.889,0.00
6.97330,-1.186,0.889,0.00
6.98346,-1.186,0.893,0.00
6.99495,-1.186,0.893,0.00
7.00513,-1.188,0.902,0.00
7.01574,-1.188,0.902,0.00
7.02639,-1.190,0.921,0.00
7.03781,-1.190,0.932,0.00
7.04798,-1.191,0.932,0.00
7.05879,-1.191,0.937,0.00
7.06896,-1.191,0.937,0.00
7.07913,-1.188,0.936,0.00
7.08933,-1.188,0.936,0.00
7.09950,-1.179,0.928,0.00
7.11013,-1.179,0.928,0.00
7.12106,-1.173,0.920,0.00
7.13251,-1.173,0.920,0.00
7.14280,-1.169,0.913,0.00
7.15295,-1.169,0.913,0.00
7.16311,-1.165,0.900,0.00
7.17342,-1.165,0.900,0.00
7.18368,-1.163,0.886,0.00
7.19392,-1.163,0.886,0.00
7.20407,-1.166,0.884,0.00
7.21432,-1.166,0.884,0.00
7.22447,-1.168,0.887,0.00
7.23462,-1.168,0.889,0.00
7.24485,-1.168,0.889,0.00
7.25522,-1.167,0.891,0.00
7.26565,-1.167,0.891,0.00
7.27606,-1.174,0.891,0.00
7.28630,-1.174,0.891,0.00
7.29649,-1.174,0.891,0.00
7.30665,-1.205,0.890,0.00
7.31685,-1.205,0.890,0.00
7.32701,-1.243,0.889,0.00
7.33726,-1.268,0.887,0.00
7.34742,-1.268,0.887,0.00
7.35764,-1.285,0.884,0.00
7.36779,-1.285,0.884,0.00
7.37803,-1.290,0.884,0.00
7.38816,-1.290,0.884,0.00
7.39832,-1.305,0.884,0.00
7.40847,-1.305,0.884,0.00
7.41885,-1.305,0.884,0.00
7.42901,-1.371,0.886,0.00
7.43936,-1.371,0.884,0.00
7.44968,-1.479,0.884,0.00
7.45996,-1.822,0.884,0.00
7.47185,-1.822,0.877,0.00
7.48201,-1.758,0.872,0.00
7.49252,-1.758,0.872,0.00
7.50271,-1.425,0.870,0.00
7.51286,-1.425,0.870,0.00
7.52302,-1.425,0.870,0.00
7.53366,-1.425,0.870,0.00
7.54382,-0.971,0.864,0.00
7.55403,-0.971,0.864,0.00
7.56420,-0.428,0.864,0.00
7.57442,-0.428,0.859,0.00
7.58474,0.476,0.853,0.00
7.59489,0.476,0.853,0.00
7.60507,2.188,0.848,0.00
7.61522,4.140,0.848,0.00
7.62537,4.140,0.844,0.00
7.63554,6.253,0.844,0.00
7.64569,6.253,0.840,0.00
7.65583,8.625,0.840,0.00
7.66598,8.625,0.838,0.00
7.67653,8.625,0.838,0.00
7.69678,13.845,0.835,0.00
7.70710,13.845,0.833,0.00
7.72303,13.845,0.833,9.00
7.73340,16.559,0.838,9.00
7.74468,19.029,0.834,9.00
7.75489,19.029,0.834,9.00
7.76517,21.245,0.833,9.00
7.77543,23.233,0.833,9.00
7.80589,24.843,0.833,9.00
7.81629,26.026,0.827,9.00
7.83532,26.026,0.827,9.00
7.84558,26.816,0.845,9.00
7.86701,26.816,0.845,9.00
7.87721,27.370,0.868,9.00
7.89944,27.594,0.890,9.00
7.90966,27.461,0.916,9.00
7.91986,26.821,0.930,9.00
7.93165,26.821,0.930,9.00
7.94191,25.652,0.939,9.00
7.95216,25.652,0.939,9.00
