time,old_sh_el_deg,sh_el_deg,stim_curr
0.00753,-0.062,-0.064,0.00
0.01780,-0.064,-0.064,0.00
0.02797,-0.064,-0.064,0.00
0.03813,-0.064,-0.064,0.00
0.04829,-0.064,-0.068,0.00
0.05846,-0.068,-0.068,0.00
0.06879,-0.068,-0.068,0.00
0.07895,-0.073,-0.073,0.00
0.08912,-0.073,-0.074,0.00
0.09928,-0.074,-0.074,0.00
0.10945,-0.074,-0.074,0.00
0.11961,-0.074,-0.074,0.00
0.12985,-0.074,-0.072,0.00
0.14001,-0.072,-0.072,0.00
0.15017,-0.072,-0.069,0.00
0.16034,-0.069,-0.069,0.00
0.17058,-0.067,-0.067,0.00
0.18082,-0.067,-0.067,0.00
0.19098,-0.068,-0.068,0.00
0.20327,-0.068,-0.068,0.00
0.21343,-0.072,-0.072,0.00
0.22366,-0.072,-0.072,0.00
0.23384,-0.072,-0.072,0.00
0.24407,-0.072,-0.072,0.00
0.25425,-0.073,-0.073,0.00
0.26444,-0.073,-0.073,0.00
0.27462,-0.077,-0.077,0.00
0.28492,-0.077,-0.077,0.00
0.29510,-0.080,-0.080,0.00
0.30527,-0.080,-0.080,0.00
0.31566,-0.080,-0.080,0.00
0.32619,-0.080,-0.084,0.00
0.33647,-0.084,-0.084,0.00
0.34685,-0.084,-0.091,0.00
0.35720,-0.091,-0.091,0.00
0.36759,-0.091,-0.100,0.00
0.37810,-0.100,-0.100,0.00
0.38825,-0.100,-0.112,0.00
0.39865,-0.112,-0.112,0.00
0.40913,-0.112,-0.123,0.00
0.41950,-0.123,-0.123,0.00
0.42984,-0.123,-0.131,0.00
0.44001,-0.131,-0.131,0.00
0.45020,-0.131,-0.139,0.00
0.46049,-0.139,-0.139,0.00
0.47069,-0.139,-0.147,0.00
0.48096,-0.147,-0.147,0.00
0.49111,-0.147,-0.154,0.00
0.50142,-0.154,-0.154,0.00
0.51160,-0.154,-0.162,0.00
0.52295,-0.162,-0.162,0.00
0.53312,-0.169,-0.169,0.00
0.54460,-0.169,-0.169,0.00
0.55479,-0.176,-0.176,0.00
0.56620,-0.176,-0.176,0.00
0.57636,-0.181,-0.181,0.00
0.58652,-0.181,-0.185,0.00
0.59669,-0.185,-0.185,0.00
0.60685,-0.185,-0.187,0.00
0.61717,-0.187,-0.187,0.00
0.62750,-0.187,-0.188,0.00
0.63803,-0.188,-0.188,0.00
0.64821,-0.188,-0.194,0.00
0.65838,-0.194,-0.194,0.00
0.66877,-0.198,-0.198,0.00
0.67908,-0.198,-0.198,0.00
0.68942,-0.199,-0.199,0.00
0.69991,-0.199,-0.199,0.00
0.71026,-0.200,-0.200,0.00
0.72071,-0.200,-0.200,0.00
0.73103,-0.200,-0.200,0.00
0.74154,-0.200,-0.200,0.00
0.75171,-0.204,-0.204,0.00
0.76304,-0.204,-0.204,0.00
0.77319,-0.206,-0.206,0.00
0.78342,-0.206,-0.206,0.00
0.79357,-0.204,-0.204,0.00
0.80516,-0.204,-0.204,0.00
0.81530,-0.202,-0.202,0.00
0.82546,-0.202,-0.192,0.00
0.83559,-0.192,-0.192,0.00
0.84712,-0.192,-0.192,0.00
0.85727,-0.178,-0.178,0.00
0.86742,-0.178,-0.165,0.00
0.87755,-0.165,-0.165,0.00
0.88811,-0.165,-0.165,0.00
0.89830,-0.152,-0.152,0.00
0.90845,-0.152,-0.139,0.00
0.91859,-0.139,-0.139,0.00
0.92875,-0.139,-0.125,0.00
0.93891,-0.125,-0.125,0.00
0.94908,-0.110,-0.110,0.00
0.95943,-0.110,-0.110,0.00
0.96984,-0.095,-0.095,0.00
0.98014,-0.095,-0.095,0.00
0.99052,-0.095,-0.095,0.00
1.00092,-0.082,-0.082,0.00
1.01136,-0.071,-0.071,0.00
1.02204,-0.071,-0.071,0.00
1.03221,-0.062,-0.062,0.00
1.04264,-0.062,-0.062,0.00
1.05303,-0.057,-0.057,0.00
1.06316,-0.057,-0.057,0.00
1.07331,-0.057,-0.055,0.00
1.08357,-0.055,-0.055,0.00
1.09379,-0.055,-0.054,0.00
1.10394,-0.054,-0.054,0.00
1.11410,-0.053,-0.053,0.00
1.12424,-0.053,-0.053,0.00
1.13439,-0.052,-0.052,0.00
1.14454,-0.052,-0.052,0.00
1.15469,-0.051,-0.051,0.00
1.16483,-0.051,-0.051,0.00
1.17497,-0.046,-0.046,0.00
1.18511,-0.046,-0.046,0.00
1.19527,-0.046,-0.046,0.00
1.20541,-0.046,-0.046,0.00
1.21555,-0.050,-0.050,0.00
1.22579,-0.050,-0.052,0.00
1.23593,-0.052,-0.052,0.00
1.24610,-0.052,-0.051,0.00
1.25624,-0.051,-0.051,0.00
1.26640,-0.051,-0.050,0.00
1.27653,-0.050,-0.050,0.00
1.28668,-0.050,-0.053,0.00
1.29681,-0.053,-0.053,0.00
1.30716,-0.053,-0.057,0.00
1.31758,-0.057,-0.057,0.00
1.32773,-0.057,-0.057,0.00
1.33786,-0.061,-0.061,0.00
1.34800,-0.061,-0.061,0.00
1.35815,-0.064,-0.064,0.00
1.36829,-0.064,-0.064,0.00
1.37843,-0.073,-0.073,0.00
1.38858,-0.073,-0.082,0.00
1.39872,-0.082,-0.082,0.00
1.40890,-0.082,-0.086,0.00
1.41904,-0.086,-0.086,0.00
1.42919,-0.086,-0.093,0.00
1.43933,-0.093,-0.093,0.00
1.44948,-0.093,-0.101,0.00
1.45962,-0.101,-0.101,0.00
1.46978,-0.101,-0.114,0.00
1.47992,-0.114,-0.114,0.00
1.49008,-0.114,-0.124,0.00
1.50022,-0.124,-0.124,0.00
1.51037,-0.133,-0.133,0.00
1.52076,-0.133,-0.133,0.00
1.53094,-0.133,-0.142,0.00
1.54119,-0.142,-0.142,0.00
1.55135,-0.142,-0.151,0.00
1.56160,-0.151,-0.151,0.00
1.57177,-0.151,-0.154,0.00
1.58197,-0.154,-0.154,0.00
1.59212,-0.155,-0.155,0.00
1.60241,-0.155,-0.155,0.00
1.61255,-0.157,-0.157,0.00
1.62300,-0.157,-0.157,0.00
1.63314,-0.158,-0.158,0.00
1.64329,-0.158,-0.158,0.00
1.65343,-0.158,-0.158,0.00
1.66358,-0.158,-0.158,0.00
1.67372,-0.153,-0.153,0.00
1.68387,-0.153,-0.153,0.00
1.69405,-0.149,-0.149,0.00
1.70475,-0.149,-0.149,0.00
1.71491,-0.145,-0.145,0.00
1.72505,-0.145,-0.145,0.00
1.73519,-0.142,-0.142,0.00
1.74533,-0.142,-0.138,0.00
1.75548,-0.138,-0.138,0.00
1.76561,-0.138,-0.138,0.00
1.77575,-0.138,-0.138,0.00
1.78742,-0.138,-0.136,0.00
1.79756,-0.136,-0.136,0.00
1.80782,-0.136,-0.136,0.00
1.81797,-0.135,-0.135,0.00
1.82812,-0.135,-0.135,0.00
1.83825,-0.135,-0.135,0.00
1.84840,-0.135,-0.131,0.00
1.85855,-0.131,-0.131,0.00
1.86870,-0.131,-0.129,0.00
1.87884,-0.129,-0.129,0.00
1.88913,-0.125,-0.125,0.00
1.89944,-0.125,-0.125,0.00
1.90990,-0.120,-0.120,0.00
1.92015,-0.120,-0.120,0.00
1.93069,-0.115,-0.115,0.00
1.94082,-0.115,-0.115,0.00
1.95126,-0.111,-0.111,0.00
1.96216,-0.111,-0.111,0.00
1.97231,-0.108,-0.108,0.00
1.98293,-0.108,-0.108,0.00
1.99309,-0.104,-0.104,0.00
2.00386,-0.104,-0.104,0.00
2.01401,-0.101,-0.101,0.00
2.02416,-0.101,-0.101,0.00
2.03432,-0.099,-0.099,0.00
2.04449,-0.099,-0.099,0.00
2.05465,-0.098,-0.098,0.00
2.06481,-0.098,-0.098,0.00
2.07496,-0.096,-0.096,0.00
2.08511,-0.096,-0.096,0.00
2.09524,-0.093,-0.093,0.00
2.10549,-0.093,-0.096,0.00
2.11562,-0.096,-0.096,0.00
2.12578,-0.096,-0.093,0.00
2.13592,-0.093,-0.093,0.00
2.14626,-0.093,-0.092,0.00
2.15640,-0.092,-0.092,0.00
2.16675,-0.092,-0.094,0.00
2.17685,-0.094,-0.094,0.00
2.18701,-0.094,-0.100,0.00
2.19715,-0.100,-0.100,0.00
2.20730,-0.100,-0.108,0.00
2.21744,-0.108,-0.108,0.00
2.22758,-0.108,-0.113,0.00
2.23784,-0.113,-0.113,0.00
2.24799,-0.113,-0.119,0.00
2.25814,-0.119,-0.119,0.00
2.26830,-0.119,-0.125,0.00
2.27845,-0.125,-0.125,0.00
2.28861,-0.125,-0.127,0.00
2.29876,-0.127,-0.127,0.00
2.30890,-0.127,-0.129,0.00
2.31903,-0.129,-0.129,0.00
2.32924,-0.129,-0.133,0.00
2.33936,-0.133,-0.133,0.00
2.34952,-0.133,-0.136,0.00
2.35966,-0.136,-0.136,0.00
2.36982,-0.136,-0.138,0.00
2.38006,-0.138,-0.138,0.00
2.39030,-0.141,-0.141,0.00
2.40060,-0.141,-0.141,0.00
2.41074,-0.143,-0.143,0.00
2.42098,-0.143,-0.143,0.00
2.43121,-0.145,-0.145,0.00
2.44144,-0.145,-0.145,0.00
2.45159,-0.149,-0.149,0.00
2.46287,-0.149,-0.149,0.00
2.47300,-0.151,-0.151,0.00
2.48331,-0.151,-0.151,0.00
2.49349,-0.151,-0.151,0.00
2.50364,-0.151,-0.157,0.00
2.51380,-0.157,-0.157,0.00
2.52404,-0.157,-0.157,0.00
2.53428,-0.161,-0.161,0.00
2.54485,-0.161,-0.161,0.00
2.55499,-0.163,-0.163,0.00
2.56514,-0.163,-0.163,0.00
2.57527,-0.163,-0.163,0.00
2.58542,-0.163,-0.162,0.00
2.59556,-0.162,-0.162,0.00
2.60580,-0.162,-0.159,0.00
2.61595,-0.159,-0.159,0.00
2.62694,-0.159,-0.159,0.00
2.63879,-0.159,-0.156,0.00
2.64894,-0.156,-0.153,0.00
2.65908,-0.153,-0.153,0.00
2.66924,-0.153,-0.153,0.00
2.67939,-0.153,-0.153,0.00
2.68954,-0.153,-0.157,0.00
2.69968,-0.157,-0.157,0.00
2.70984,-0.162,-0.162,0.00
2.71998,-0.162,-0.162,0.00
2.73099,-0.162,-0.162,0.00
2.74131,-0.167,-0.167,0.00
2.75152,-0.173,-0.173,0.00
2.76186,-0.173,-0.173,0.00
2.77209,-0.181,-0.181,0.00
2.78267,-0.181,-0.181,0.00
2.79303,-0.181,-0.194,0.00
2.80387,-0.194,-0.194,0.00
2.81511,-0.208,-0.208,0.00
2.82526,-0.208,-0.221,0.00
2.83539,-0.221,-0.221,0.00
2.84598,-0.221,-0.221,0.00
2.85631,-0.237,-0.237,0.00
2.86641,-0.237,-0.237,0.00
2.87660,-0.255,-0.255,0.00
2.88675,-0.255,-0.266,0.00
2.89689,-0.266,-0.266,0.00
2.90704,-0.266,-0.281,0.00
2.91721,-0.281,-0.281,0.00
2.92735,-0.281,-0.293,0.00
2.93749,-0.293,-0.293,0.00
2.94763,-0.293,-0.307,0.00
2.95786,-0.307,-0.307,0.00
2.96801,-0.307,-0.321,0.00
2.97815,-0.321,-0.321,0.00
2.98832,-0.321,-0.332,0.00
2.99846,-0.332,-0.332,0.00
3.00861,-0.332,-0.340,0.00
3.01874,-0.340,-0.340,0.00
3.02889,-0.340,-0.345,0.00
3.03903,-0.345,-0.345,0.00
3.04917,-0.345,-0.352,0.00
3.05933,-0.352,-0.352,0.00
3.06949,-0.352,-0.356,0.00
3.07964,-0.356,-0.356,0.00
3.08980,-0.360,-0.360,0.00
3.09995,-0.360,-0.360,0.00
3.11015,-0.365,-0.365,0.00
3.12025,-0.365,-0.365,0.00
3.13040,-0.369,-0.369,0.00
3.14054,-0.369,-0.369,0.00
3.15069,-0.373,-0.373,0.00
3.16089,-0.373,-0.373,0.00
3.17128,-0.376,-0.376,0.00
3.18188,-0.376,-0.376,0.00
3.19212,-0.380,-0.380,0.00
3.20279,-0.380,-0.380,0.00
3.21313,-0.380,-0.386,0.00
3.22382,-0.386,-0.386,0.00
3.23401,-0.391,-0.391,0.00
3.24426,-0.391,-0.391,0.00
3.25451,-0.398,-0.398,0.00
3.26466,-0.398,-0.398,0.00
3.27481,-0.403,-0.403,0.00
3.28497,-0.403,-0.403,0.00
3.29514,-0.408,-0.408,0.00
3.30529,-0.408,-0.408,0.00
3.31543,-0.412,-0.412,0.00
3.32559,-0.412,-0.412,0.00
3.33583,-0.413,-0.413,0.00
3.34599,-0.413,-0.413,0.00
3.35613,-0.415,-0.415,0.00
3.36643,-0.415,-0.415,0.00
3.37658,-0.421,-0.421,0.00
3.38673,-0.421,-0.423,0.00
3.39687,-0.423,-0.423,0.00
3.40702,-0.423,-0.427,0.00
3.41716,-0.427,-0.427,0.00
3.42732,-0.427,-0.427,0.00
3.43747,-0.431,-0.431,0.00
3.44762,-0.431,-0.431,0.00
3.45779,-0.433,-0.433,0.00
3.46795,-0.433,-0.433,0.00
3.47809,-0.433,-0.433,0.00
3.48825,-0.433,-0.433,0.00
3.49840,-0.433,-0.433,0.00
3.50856,-0.433,-0.435,0.00
3.51871,-0.435,-0.435,0.00
3.52886,-0.435,-0.434,0.00
3.53900,-0.434,-0.434,0.00
3.54942,-0.434,-0.434,0.00
3.55956,-0.433,-0.433,0.00
3.56992,-0.433,-0.433,0.00
3.58008,-0.430,-0.430,0.00
3.59023,-0.430,-0.425,0.00
3.60038,-0.425,-0.425,0.00
3.61054,-0.423,-0.423,0.00
3.62069,-0.423,-0.423,0.00
3.63085,-0.423,-0.416,0.00
3.64113,-0.416,-0.416,0.00
3.65129,-0.409,-0.409,0.00
3.66154,-0.409,-0.409,0.00
3.67169,-0.401,-0.401,0.00
3.68184,-0.401,-0.401,0.00
3.69199,-0.391,-0.391,0.00
3.70311,-0.391,-0.391,0.00
3.71326,-0.385,-0.385,0.00
3.72363,-0.385,-0.385,0.00
3.73379,-0.380,-0.380,0.00
3.74394,-0.380,-0.380,0.00
3.75410,-0.369,-0.369,0.00
3.76425,-0.369,-0.369,0.00
3.77439,-0.359,-0.359,0.00
3.78455,-0.359,-0.349,0.00
3.79494,-0.349,-0.349,0.00
3.80508,-0.349,-0.349,0.00
3.81522,-0.337,-0.337,0.00
3.82537,-0.337,-0.337,0.00
3.83551,-0.327,-0.327,0.00
3.84566,-0.327,-0.327,0.00
3.85582,-0.320,-0.320,0.00
3.86597,-0.320,-0.320,0.00
3.87613,-0.315,-0.315,0.00
3.88630,-0.315,-0.312,0.00
3.89646,-0.312,-0.312,0.00
3.90662,-0.312,-0.306,0.00
3.91676,-0.306,-0.306,0.00
3.92692,-0.306,-0.305,0.00
3.93706,-0.305,-0.305,0.00
3.94722,-0.305,-0.306,0.00
3.95736,-0.306,-0.306,0.00
3.96751,-0.306,-0.305,0.00
3.97765,-0.305,-0.305,0.00
3.98780,-0.305,-0.306,0.00
3.99794,-0.306,-0.306,0.00
4.00810,-0.306,-0.310,0.00
4.01825,-0.310,-0.310,0.00
4.02856,-0.310,-0.311,0.00
4.03869,-0.311,-0.311,0.00
4.04885,-0.311,-0.311,0.00
4.05899,-0.312,-0.312,0.00
4.06915,-0.312,-0.314,0.00
4.07930,-0.314,-0.314,0.00
4.08945,-0.314,-0.318,0.00
4.09960,-0.318,-0.318,0.00
4.10976,-0.318,-0.324,0.00
4.11991,-0.324,-0.324,0.00
4.13007,-0.324,-0.331,0.00
4.14033,-0.331,-0.331,0.00
4.15050,-0.342,-0.342,0.00
4.16064,-0.342,-0.342,0.00
4.17082,-0.342,-0.353,0.00
4.18106,-0.353,-0.353,0.00
4.19122,-0.361,-0.361,0.00
4.20148,-0.361,-0.361,0.00
4.21162,-0.370,-0.370,0.00
4.22200,-0.370,-0.370,0.00
4.23215,-0.382,-0.382,0.00
4.24247,-0.382,-0.382,0.00
4.25262,-0.397,-0.397,0.00
4.26279,-0.397,-0.397,0.00
4.27294,-0.397,-0.413,0.00
4.28398,-0.413,-0.413,0.00
4.29414,-0.427,-0.427,0.00
4.30490,-0.427,-0.427,0.00
4.31504,-0.440,-0.440,0.00
4.32582,-0.440,-0.440,0.00
4.33596,-0.450,-0.450,0.00
4.34740,-0.450,-0.455,0.00
4.35756,-0.455,-0.455,0.00
4.36786,-0.455,-0.455,0.00
4.37803,-0.465,-0.465,0.00
4.38818,-0.465,-0.465,0.00
4.39835,-0.469,-0.469,0.00
4.40850,-0.469,-0.472,0.00
4.41864,-0.472,-0.472,0.00
4.42879,-0.473,-0.473,0.00
4.43893,-0.473,-0.473,0.00
4.44930,-0.474,-0.474,0.00
4.45960,-0.474,-0.474,0.00
4.47008,-0.478,-0.478,0.00
4.48034,-0.478,-0.478,0.00
4.49078,-0.479,-0.479,0.00
4.50118,-0.479,-0.479,0.00
4.51135,-0.479,-0.475,0.00
4.52234,-0.475,-0.475,0.00
4.53251,-0.470,-0.470,0.00
4.54317,-0.470,-0.470,0.00
4.55334,-0.463,-0.463,0.00
4.56408,-0.463,-0.463,0.00
4.57424,-0.460,-0.460,0.00
4.58441,-0.460,-0.460,0.00
4.59455,-0.463,-0.463,0.00
4.60472,-0.463,-0.463,0.00
4.61486,-0.468,-0.468,0.00
4.62503,-0.468,-0.468,0.00
4.63518,-0.471,-0.471,0.00
4.64548,-0.471,-0.471,0.00
4.65563,-0.467,-0.467,0.00
4.66581,-0.467,-0.467,0.00
4.67596,-0.456,-0.456,0.00
4.68613,-0.456,-0.456,0.00
4.69629,-0.439,-0.439,0.00
4.70646,-0.439,-0.439,0.00
4.71661,-0.419,-0.419,0.00
4.72677,-0.419,-0.398,0.00
4.73692,-0.398,-0.398,0.00
4.74708,-0.398,-0.378,0.00
4.75723,-0.378,-0.378,0.00
4.76738,-0.378,-0.365,0.00
4.77753,-0.365,-0.365,0.00
4.78768,-0.365,-0.359,0.00
4.79785,-0.359,-0.359,0.00
4.80800,-0.359,-0.358,0.00
4.81816,-0.358,-0.358,0.00
4.82837,-0.358,-0.361,0.00
4.83852,-0.361,-0.361,0.00
4.84867,-0.361,-0.365,0.00
4.85882,-0.365,-0.365,0.00
4.86896,-0.365,-0.373,0.00
4.87911,-0.373,-0.373,0.00
4.88925,-0.373,-0.382,0.00
4.89941,-0.382,-0.382,0.00
4.90955,-0.382,-0.388,0.00
4.91969,-0.388,-0.388,0.00
4.92986,-0.388,-0.393,0.00
4.94001,-0.393,-0.393,0.00
4.95016,-0.393,-0.392,0.00
4.96031,-0.392,-0.392,0.00
4.97047,-0.385,-0.385,0.00
4.98061,-0.385,-0.385,0.00
4.99077,-0.373,-0.373,0.00
5.00091,-0.373,-0.373,0.00
5.01106,-0.358,-0.358,0.00
5.02120,-0.358,-0.358,0.00
5.03134,-0.338,-0.338,0.00
5.04149,-0.338,-0.338,0.00
5.05163,-0.313,-0.313,0.00
5.06179,-0.313,-0.313,0.00
5.07207,-0.282,-0.282,0.00
5.08222,-0.282,-0.282,0.00
5.09238,-0.282,-0.241,0.00
5.10253,-0.241,-0.241,0.00
5.11278,-0.192,-0.192,0.00
5.12292,-0.192,-0.192,0.00
5.13307,-0.132,-0.132,0.00
5.14323,-0.132,-0.132,0.00
5.15338,-0.070,-0.070,0.00
5.16354,-0.070,-0.070,0.00
5.17367,-0.011,-0.011,0.00
5.18382,-0.011,-0.011,0.00
5.19396,-0.011,0.046,0.00
5.20439,0.046,0.046,0.00
5.21465,0.102,0.102,0.00
5.22480,0.102,0.148,0.00
5.23493,0.148,0.148,0.00
5.24510,0.148,0.148,0.00
5.25525,0.184,0.184,0.00
5.26540,0.184,0.215,0.00
5.27572,0.215,0.215,0.00
5.28584,0.215,0.215,0.00
5.29600,0.215,0.246,0.00
5.30616,0.246,0.246,0.00
5.31629,0.272,0.272,0.00
5.32647,0.272,0.272,0.00
5.33663,0.291,0.291,0.00
5.34677,0.291,0.302,0.00
5.35691,0.302,0.302,0.00
5.36707,0.302,0.306,0.00
5.37720,0.306,0.306,0.00
5.38734,0.306,0.302,0.00
5.39748,0.302,0.302,0.00
5.40763,0.302,0.291,0.00
5.41786,0.291,0.291,0.00
5.42801,0.291,0.278,0.00
5.43816,0.278,0.278,0.00
5.44831,0.278,0.269,0.00
5.45849,0.269,0.269,0.00
5.46871,0.269,0.264,0.00
5.47886,0.264,0.264,0.00
5.48900,0.264,0.264,0.00
5.49914,0.259,0.259,0.00
5.50929,0.259,0.258,0.00
5.51944,0.258,0.258,0.00
5.52960,0.258,0.262,0.00
5.53984,0.262,0.262,0.00
5.54999,0.262,0.270,0.00
5.56013,0.270,0.270,0.00
5.57028,0.287,0.287,0.00
5.58043,0.287,0.287,0.00
5.59059,0.309,0.309,0.00
5.60083,0.309,0.309,0.00
5.61099,0.334,0.334,0.00
5.62113,0.334,0.334,0.00
5.63128,0.334,0.359,0.00
5.64141,0.359,0.359,0.00
5.65155,0.384,0.384,0.00
5.66221,0.384,0.384,0.00
5.67236,0.411,0.411,0.00
5.68260,0.411,0.443,0.00
5.69286,0.443,0.443,0.00
5.70330,0.443,0.480,0.00
5.71353,0.480,0.480,0.00
5.72403,0.480,0.518,0.00
5.73426,0.518,0.518,0.00
5.74478,0.518,0.551,0.00
5.75501,0.551,0.551,0.00
5.76552,0.551,0.551,0.00
5.77567,0.575,0.575,0.00
5.78610,0.575,0.591,0.00
5.79641,0.591,0.591,0.00
5.80678,0.591,0.604,0.00
5.81709,0.604,0.604,0.00
5.82744,0.604,0.617,0.00
5.83787,0.617,0.617,0.00
5.84824,0.617,0.627,0.00
5.85854,0.627,0.627,0.00
5.86891,0.641,0.641,0.00
5.87923,0.641,0.641,0.00
5.88962,0.641,0.653,0.00
5.89990,0.653,0.653,0.00
5.91037,0.653,0.671,0.00
5.92086,0.671,0.671,0.00
5.93103,0.699,0.699,0.00
5.94155,0.699,0.699,0.00
5.95171,0.731,0.731,0.00
5.96215,0.731,0.731,0.00
5.97256,0.778,0.778,0.00
5.98268,0.778,0.778,0.00
5.99284,0.778,0.836,0.00
6.00299,0.836,0.836,0.00
6.01315,0.836,0.914,0.00
6.02330,0.914,0.914,0.00
6.03345,1.005,1.005,0.00
6.04375,1.005,1.005,0.00
6.05392,1.102,1.102,0.00
6.06407,1.102,1.102,0.00
6.07420,1.201,1.201,0.00
6.08435,1.201,1.201,0.00
6.09451,1.300,1.300,0.00
6.10466,1.300,1.300,0.00
6.11481,1.300,1.401,0.00
6.12496,1.401,1.401,0.00
6.13531,1.511,1.511,0.00
6.14545,1.511,1.511,0.00
6.15558,1.628,1.628,0.00
6.16574,1.628,1.628,0.00
6.17587,1.743,1.743,0.00
6.18603,1.743,1.861,0.00
6.19617,1.861,1.861,0.00
6.20632,1.861,1.861,0.00
6.21646,1.988,1.988,0.00
6.22670,1.988,1.988,0.00
6.23685,2.134,2.134,0.00
6.24701,2.134,2.292,0.00
6.25715,2.292,2.292,0.00
6.26729,2.292,2.458,0.00
6.27743,2.458,2.458,0.00
6.28757,2.458,2.652,0.00
6.29789,2.652,2.652,0.00
6.30803,2.652,2.865,0.00
6.31818,2.865,2.865,0.00
6.32833,3.107,3.107,0.00
6.33848,3.107,3.107,0.00
6.34863,3.107,3.378,0.00
6.35889,3.378,3.378,0.00
6.36918,3.378,3.378,0.00
6.37953,3.378,3.378,0.00
6.39000,3.378,4.014,0.00
6.40020,4.014,4.014,0.00
6.41056,4.386,4.386,0.00
6.42105,4.386,4.386,0.00
6.43143,4.782,4.782,0.00
6.44163,4.782,4.782,0.00
6.45209,5.193,5.193,0.00
6.46222,5.193,5.193,0.00
6.47238,5.644,5.644,0.00
6.48266,5.644,5.644,0.00
6.49282,6.152,6.152,0.00
6.50365,6.152,6.152,0.00
6.51390,6.690,6.690,0.00
6.52464,6.690,6.690,0.00
6.53486,7.265,7.265,0.00
6.54501,7.265,7.265,0.00
6.55518,7.884,7.884,0.00
6.56534,7.884,7.884,0.00
6.57551,8.526,8.526,0.00
6.58565,8.526,9.163,0.00
6.59581,9.163,9.163,0.00
6.60598,9.163,9.843,0.00
6.61611,9.843,9.843,0.00
6.62749,9.843,10.532,0.00
6.64608,10.532,11.240,0.00
6.65642,11.240,11.240,0.00
6.67785,11.240,11.240,15.00
6.68803,11.967,12.744,15.00
6.70980,12.744,12.744,15.00
6.72026,13.609,13.609,15.00
6.74157,13.609,14.537,15.00
6.75183,15.459,15.459,15.00
6.77347,15.459,15.459,15.00
6.78366,16.356,16.356,15.00
6.79388,17.241,17.241,15.00
6.80615,17.241,17.241,15.00
6.81624,18.099,18.099,15.00
6.82722,18.099,18.099,15.00
6.83747,18.099,18.099,15.00
6.84765,18.953,19.804,15.00
6.85787,19.804,19.804,15.00
6.86988,19.804,19.804,15.00
6.88030,20.637,20.637,15.00
6.89050,20.637,21.419,15.00
6.90197,21.419,21.419,15.00
6.91214,21.419,22.150,15.00
6.92229,22.150,22.150,15.00
6.94960,22.150,22.150,15.00
6.95978,23.444,23.444,15.00
6.98318,23.444,23.444,15.00
6.99331,24.552,24.552,15.00
7.01334,24.552,24.552,15.00
7.02358,25.041,25.041,15.00
7.04657,25.041,25.491,15.00
7.05675,25.897,25.897,15.00
7.07794,25.897,26.259,15.00
7.08813,26.259,26.259,15.00
7.09828,26.611,26.611,15.00
7.10980,26.611,26.611,15.00
7.11996,26.957,26.957,15.00
7.13011,26.957,27.307,15.00
7.14153,27.307,27.307,15.00
7.15180,27.659,27.659,15.00
7.16240,27.659,27.659,15.00
7.17409,27.659,28.036,15.00
7.18429,28.036,28.036,15.00
7.19446,28.433,28.433,15.00
7.20597,28.433,28.433,15.00
7.21629,28.433,28.836,15.00
7.22658,28.836,28.836,15.00
7.23790,29.253,29.253,15.00
7.24832,29.253,29.687,15.00
7.25841,29.687,29.687,15.00
7.28550,29.687,29.687,15.00
7.29567,30.622,30.622,15.00
7.31766,30.622,30.622,15.00
7.32784,31.118,31.118,15.00
7.34957,31.629,31.629,15.00
7.35984,32.156,32.156,15.00
7.38224,32.156,32.696,15.00
7.39225,33.248,33.248,15.00
7.41428,33.248,33.786,15.00
7.42443,33.786,34.320,15.00
7.43456,34.320,34.320,15.00
7.44638,34.320,34.320,15.00
7.45650,34.846,34.846,15.00
7.46666,34.846,34.846,15.00
7.47792,35.375,35.375,15.00
7.48825,35.375,35.889,15.00
7.49857,35.889,35.889,15.00
7.50950,35.889,35.889,15.00
7.51966,35.889,35.889,15.00
7.52981,35.889,35.889,15.00
7.54158,35.889,35.889,15.00
7.55186,35.889,35.889,15.00
7.56200,35.889,35.889,15.00
7.59082,35.889,37.382,15.00
7.60100,37.850,38.292,15.00
7.62224,38.292,38.700,15.00
7.63238,38.700,38.700,15.00
7.65384,38.700,38.700,15.00
7.66401,38.700,38.700,15.00
7.68549,38.700,38.700,15.00
7.69567,38.700,38.700,15.00
7.70593,38.700,38.700,15.00
7.71792,38.700,39.841,15.00
7.72832,40.203,40.553,15.00
7.73846,40.553,40.893,15.00
7.75026,40.893,40.893,15.00
7.76041,40.893,40.893,15.00
7.77055,40.893,40.893,15.00
7.78186,40.893,40.893,15.00
7.79202,40.893,40.893,15.00
7.80214,40.893,40.893,15.00
7.81358,40.893,40.893,15.50
7.82387,40.893,40.893,15.50
7.83402,40.893,40.893,15.50
7.84562,40.893,41.537,15.50
7.85578,41.809,42.076,15.50
7.86592,42.332,42.595,15.50
7.87831,42.595,42.595,15.50
7.88867,42.595,43.095,15.50
7.89883,43.095,43.095,15.50
7.90929,43.095,43.326,15.50
7.92584,43.326,43.539,15.50
7.93600,43.539,43.539,15.50
7.95745,43.539,43.539,15.50
7.96761,43.769,43.769,15.50
7.98938,43.990,43.990,15.50
7.99954,44.204,44.204,15.50
8.00966,44.204,44.395,15.50
8.02182,44.395,44.395,15.50
8.03222,44.395,44.605,15.50
8.04247,44.605,44.605,15.50
8.05379,44.822,44.822,15.50
8.06397,44.822,44.822,15.50
8.07412,45.028,45.028,15.50
8.08600,45.028,45.028,15.50
8.09624,45.028,45.241,15.50
