time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00240,0.004,12.277,0.00
0.01606,0.022,12.291,0.00
0.02621,0.039,12.307,0.00
0.03671,0.039,12.329,0.00
0.04731,0.056,12.329,0.00
0.05754,0.068,12.350,0.00
0.06792,0.068,12.350,0.00
0.07810,0.074,12.377,0.00
0.08825,0.074,12.377,0.00
0.09854,0.085,12.407,0.00
0.10870,0.085,12.407,0.00
0.11909,0.096,12.427,0.00
0.13252,0.108,12.455,0.00
0.14324,0.108,12.455,0.00
0.15561,0.108,12.455,0.00
0.16577,0.117,12.480,0.00
0.17778,0.124,12.504,0.00
0.18794,0.124,12.504,0.00
0.19810,0.131,12.531,0.00
0.20835,0.131,12.531,0.00
0.21851,0.140,12.550,0.00
0.22868,0.140,12.550,0.00
0.23885,0.150,12.564,0.00
0.24901,0.150,12.564,0.00
0.25916,0.153,12.580,0.00
0.26933,0.153,12.580,0.00
0.27976,0.155,12.597,0.00
0.29001,0.155,12.597,0.00
0.30017,0.156,12.615,0.00
0.31055,0.156,12.615,0.00
0.32078,0.156,12.631,0.00
0.33111,0.156,12.631,0.00
0.34281,0.161,12.647,0.00
0.35457,0.171,12.664,0.00
0.36505,0.171,12.664,0.00
0.37541,0.180,12.681,0.00
0.38557,0.180,12.681,0.00
0.39572,0.180,12.681,0.00
0.40619,0.186,12.696,0.00
0.41637,0.186,12.696,0.00
0.42660,0.186,12.696,0.00
0.43678,0.194,12.719,0.00
0.44707,0.199,12.719,0.00
0.45725,0.206,12.719,0.00
0.46750,0.206,12.727,0.00
0.47774,0.206,12.727,0.00
0.48790,0.213,12.735,0.00
0.49807,0.220,12.744,0.00
0.50908,0.220,12.744,0.00
0.51923,0.221,12.744,0.00
0.52940,0.218,12.753,0.00
0.54222,0.218,12.760,0.00
0.55459,0.218,12.773,0.00
0.56484,0.217,12.773,0.00
0.57696,0.222,12.787,0.00
0.58729,0.222,12.787,0.00
0.59930,0.228,12.804,0.00
0.61053,0.228,12.804,0.00
0.62281,0.232,12.804,0.00
0.63303,0.232,12.819,0.00
0.64320,0.238,12.832,0.00
0.65335,0.238,12.832,0.00
0.66352,0.238,12.832,0.00
0.67368,0.238,12.838,0.00
0.68548,0.235,12.845,0.00
0.69837,0.237,12.855,0.00
0.70854,0.237,12.855,0.00
0.71870,0.239,12.859,0.00
0.72887,0.239,12.859,0.00
0.74068,0.242,12.862,0.00
0.75086,0.242,12.862,0.00
0.76102,0.242,12.862,0.00
0.77136,0.246,12.863,0.00
0.78154,0.248,12.859,0.00
0.79169,0.248,12.859,0.00
0.80186,0.250,12.859,0.00
0.81203,0.250,12.859,0.00
0.82220,0.250,12.860,0.00
0.83237,0.249,12.860,0.00
0.84253,0.249,12.860,0.00
0.85284,0.248,12.862,0.00
0.86322,0.248,12.862,0.00
0.87358,0.248,12.862,0.00
0.88356,0.248,12.866,0.00
0.89372,0.248,12.866,0.00
0.90391,0.247,12.868,0.00
0.91410,0.247,12.868,0.00
0.92428,0.244,12.868,0.00
0.93445,0.244,12.868,0.00
0.94461,0.241,12.869,0.00
0.95480,0.241,12.869,0.00
0.96498,0.234,12.868,0.00
0.97514,0.234,12.868,0.00
0.98553,0.225,12.865,0.00
0.99569,0.225,12.865,0.00
1.00584,0.221,12.864,0.00
1.01660,0.219,12.868,0.00
1.02676,0.219,12.868,0.00
1.03720,0.217,12.869,0.00
1.04736,0.217,12.869,0.00
1.05773,0.214,12.869,0.00
1.07019,0.214,12.869,0.00
1.08035,0.212,12.871,0.00
1.09168,0.212,12.871,0.00
1.10181,0.211,12.872,0.00
1.11196,0.211,12.872,0.00
1.12268,0.205,12.869,0.00
1.13364,0.205,12.869,0.00
1.14398,0.197,12.866,0.00
1.15475,0.193,12.861,0.00
1.16491,0.193,12.861,0.00
1.17519,0.199,12.857,0.00
1.18534,0.199,12.857,0.00
1.19549,0.200,12.850,0.00
1.20563,0.200,12.850,0.00
1.21583,0.196,12.845,0.00
1.22599,0.196,12.845,0.00
1.23630,0.196,12.845,0.00
1.24655,0.190,12.840,0.00
1.25680,0.186,12.830,0.00
1.26716,0.186,12.830,0.00
1.27736,0.178,12.820,0.00
1.28779,0.178,12.820,0.00
1.29811,0.170,12.816,0.00
1.30845,0.170,12.816,0.00
1.31862,0.162,12.810,0.00
1.32881,0.162,12.810,0.00
1.33907,0.162,12.807,0.00
1.34922,0.158,12.807,0.00
1.35938,0.158,12.810,0.00
1.36954,0.158,12.810,0.00
1.37970,0.154,12.804,0.00
1.38985,0.154,12.804,0.00
1.40005,0.148,12.798,0.00
1.41020,0.148,12.798,0.00
1.42053,0.143,12.794,0.00
1.43082,0.143,12.794,0.00
1.44112,0.143,12.791,0.00
1.45145,0.143,12.791,0.00
1.46185,0.144,12.789,0.00
1.47261,0.144,12.789,0.00
1.48281,0.143,12.786,0.00
1.49298,0.143,12.786,0.00
1.50313,0.137,12.776,0.00
1.51328,0.137,12.765,0.00
1.52344,0.133,12.765,0.00
1.53360,0.133,12.765,0.00
1.54375,0.132,12.760,0.00
1.55390,0.132,12.760,0.00
1.56444,0.132,12.753,0.00
1.57519,0.132,12.753,0.00
1.58487,0.134,12.744,0.00
1.59510,0.136,12.744,0.00
1.60526,0.136,12.739,0.00
1.61547,0.136,12.739,0.00
1.62579,0.136,12.736,0.00
1.63610,0.136,12.734,0.00
1.64632,0.136,12.734,0.00
1.65647,0.138,12.731,0.00
1.66681,0.138,12.731,0.00
1.67706,0.141,12.730,0.00
1.68730,0.141,12.730,0.00
1.69747,0.138,12.726,0.00
1.70787,0.138,12.726,0.00
1.71803,0.127,12.721,0.00
1.72818,0.127,12.721,0.00
1.73846,0.115,12.719,0.00
1.74889,0.115,12.719,0.00
1.75906,0.112,12.715,0.00
1.76951,0.112,12.715,0.00
1.77980,0.113,12.715,0.00
1.79010,0.113,12.715,0.00
1.80057,0.113,12.715,0.00
1.81119,0.111,12.715,0.00
1.82140,0.109,12.717,0.00
1.83166,0.109,12.717,0.00
1.84212,0.109,12.717,0.00
1.85290,0.109,12.717,0.00
1.86307,0.110,12.712,0.00
1.87322,0.109,12.712,0.00
1.88344,0.109,12.712,0.00
1.89383,0.109,12.712,0.00
1.90423,0.119,12.712,0.00
1.91532,0.119,12.712,0.00
1.92547,0.135,12.708,0.00
1.93581,0.143,12.707,0.00
1.94599,0.143,12.707,0.00
1.95616,0.112,12.700,0.00
1.96632,0.112,12.700,0.00
1.97658,0.112,12.691,0.00
1.98678,0.112,12.691,0.00
1.99696,0.150,12.686,0.00
2.00720,0.150,12.686,0.00
2.01735,0.196,12.682,0.00
2.02757,0.196,12.682,0.00
2.03773,0.213,12.680,0.00
2.04875,0.213,12.680,0.00
2.05922,0.213,12.680,0.00
2.06924,0.324,12.680,0.00
2.07940,0.479,12.683,0.00
2.08972,0.479,12.683,0.00
2.10040,0.726,12.685,0.00
2.11055,0.726,12.685,0.00
2.12084,1.045,12.686,0.00
2.13104,1.045,12.692,0.00
2.14119,1.594,12.692,0.00
2.15135,1.594,12.692,0.00
2.16160,2.345,12.697,0.00
2.17186,2.345,12.697,0.00
2.18217,3.220,12.706,0.00
2.19231,3.220,12.706,0.00
2.20258,4.180,12.717,0.00
2.21273,5.493,12.731,0.00
2.22287,5.493,12.731,0.00
2.23302,7.311,12.748,0.00
2.24315,7.311,12.748,0.00
2.25519,7.311,12.748,0.00
2.26546,9.459,12.766,0.00
2.27563,11.905,12.766,0.00
2.28579,11.905,12.785,0.00
2.29599,11.905,12.785,0.00
2.32027,14.777,12.785,0.00
2.33065,17.848,12.838,0.00
2.35215,21.060,12.872,9.00
2.36234,24.153,12.901,9.00
2.38427,24.153,12.931,9.00
2.39480,27.091,12.931,9.00
2.41906,29.842,12.966,9.00
2.42938,32.222,12.981,9.00
2.44897,34.128,12.976,9.00
2.45922,35.806,12.976,9.00
2.48386,37.342,12.941,9.00
2.49404,37.342,12.941,9.00
2.50442,37.342,12.941,9.00
2.51472,38.567,12.910,9.00
2.52487,39.134,12.857,9.00
2.53520,39.134,12.857,9.00
2.54535,38.994,12.773,9.50
2.55551,38.994,12.773,9.50
2.56569,38.320,12.690,9.50
2.57619,38.320,12.690,9.50
2.58635,37.377,12.580,9.50
2.59655,36.179,12.341,9.50
2.62668,36.179,12.341,9.50
2.63689,34.614,12.012,9.50
2.65632,32.762,11.725,10.00
2.66651,30.923,11.499,10.00
2.68880,28.805,11.312,10.50
2.69908,26.326,11.156,10.50
2.72113,23.669,11.073,11.00
2.73159,23.669,11.073,11.00
2.74185,20.739,11.045,11.00
2.75233,20.739,11.045,11.50
2.76271,17.639,11.072,11.50
2.77339,17.639,11.072,11.50
2.78426,17.639,11.127,12.50
2.79444,14.651,11.127,12.50
2.80461,11.853,11.161,12.50
2.81647,9.134,11.161,13.50
2.82664,9.134,11.198,13.50
2.83756,6.889,11.241,13.50
2.85017,6.889,11.241,14.50
2.86033,4.532,11.241,14.50
2.87068,4.532,11.267,14.50
2.89621,2.426,11.295,15.50
2.90654,0.809,11.325,15.50
2.93170,-0.329,11.348,17.00
2.94186,-0.632,11.300,17.00
2.96086,-0.508,11.198,18.00
2.97161,-0.508,11.198,18.00
2.99400,-0.711,10.947,18.50
3.00413,-0.711,10.947,18.50
3.01430,-0.711,10.947,18.50
3.02492,-1.016,10.708,19.50
3.03512,-1.111,10.428,19.50
3.04550,-1.111,10.428,19.50
3.05991,-1.111,10.428,20.00
3.07013,-1.008,10.089,20.00
3.08109,-1.008,10.089,20.00
3.09174,-0.871,9.757,20.00
3.10187,-0.687,9.370,20.00
3.11203,-0.513,8.957,20.00
3.13734,-0.513,8.957,20.50
3.14758,-0.433,8.452,20.50
3.16810,-0.433,8.452,20.50
3.17844,-0.365,7.292,20.50
3.20027,-0.365,6.726,20.50
3.21061,-0.370,6.726,20.50
3.23226,-0.370,6.726,21.00
3.24244,-0.457,5.643,21.00
3.25261,-0.567,5.643,21.00
3.26436,-0.567,5.195,21.00
3.27466,-0.567,5.195,21.00
3.28561,-0.704,4.859,21.00
3.29688,-0.824,4.661,21.00
3.30740,-0.824,4.661,21.00
3.31755,-0.824,4.661,21.00
3.33240,-0.929,4.675,21.00
3.34355,-1.013,4.861,21.00
3.35371,-1.013,4.861,21.00
3.36391,-1.071,5.209,21.00
3.37406,-1.071,5.209,21.00
3.38422,-1.109,5.785,21.00
3.39439,-1.109,5.785,21.00
3.40455,-1.129,6.537,21.00
3.41471,-1.124,7.368,21.00
3.42486,-1.124,7.368,21.00
3.43534,-1.089,8.287,21.00
3.44550,-1.089,8.287,21.00
3.47241,-1.089,9.435,21.00
3.48260,-1.049,10.303,21.00
3.50439,-1.070,11.780,21.00
3.51461,-1.087,12.970,21.00
3.53693,-1.094,14.064,21.00
3.54725,-1.094,14.064,21.00
3.55763,-1.098,15.112,21.00
3.56846,-1.098,15.112,21.00
3.57866,-1.102,16.115,21.00
3.58886,-1.102,16.115,21.00
3.60079,-1.105,17.060,21.00
3.61164,-1.105,17.927,21.00
3.62185,-1.104,17.927,21.00
3.63250,-1.100,17.927,21.00
3.64269,-1.100,18.736,21.00
3.65284,-1.100,19.511,21.00
3.66453,-1.094,19.511,21.00
3.67466,-1.094,19.511,21.00
3.68484,-1.088,20.111,21.00
3.69738,-1.085,20.632,21.00
3.70789,-1.085,20.632,21.00
3.71811,-1.086,21.033,21.00
3.74418,-1.086,21.033,21.00
3.75437,-1.089,21.399,21.00
3.77632,-1.095,21.895,21.00
3.78662,-1.101,21.895,21.00
3.79704,-1.109,22.128,0.00
3.80753,-1.109,22.128,0.00
3.81780,-1.115,22.320,0.00
3.82801,-1.115,22.320,0.00
3.83817,-1.122,22.511,0.00
3.84845,-1.122,22.511,0.00
3.85866,-1.127,22.630,0.00
3.86886,-1.127,22.630,0.00
3.87902,-1.129,22.735,0.00
3.88917,-1.129,22.735,0.00
3.89936,-1.129,22.735,0.00
3.90965,-1.129,22.735,0.00
3.91981,-1.130,22.796,0.00
3.92996,-1.130,22.796,0.00
3.94012,-1.127,22.855,0.00
3.95072,-1.121,22.865,0.00
3.96112,-1.121,22.865,0.00
3.97140,-1.121,22.824,0.00
3.98165,-1.071,22.793,0.00
3.99211,-1.071,22.793,0.00
4.00255,-1.023,22.706,0.00
4.01295,-0.978,22.627,0.00
4.02354,-0.978,22.627,0.00
4.03395,-0.950,22.534,0.00
4.04429,-0.950,22.534,0.00
4.05657,-0.950,22.422,0.00
4.06667,-0.929,22.422,0.00
4.07683,-0.920,22.214,0.00
4.08699,-0.920,22.214,0.00
4.09761,-0.920,22.214,0.00
4.10777,-0.910,21.876,0.00
4.11793,-0.880,21.366,0.00
4.12809,-0.880,21.366,0.00
4.13825,-0.880,21.366,0.00
4.14840,-0.851,20.834,0.00
4.15856,-0.854,20.266,0.00
4.16892,-0.854,20.266,0.00
4.17908,-0.875,19.741,0.00
4.19138,-0.875,19.741,0.00
4.20154,-0.893,19.157,0.00
4.21170,-0.893,19.157,0.00
4.22185,-0.907,18.488,0.00
4.23201,-0.907,17.712,0.00
4.24218,-0.904,17.712,0.00
4.25236,-0.904,17.712,0.00
4.26252,-0.874,16.804,0.00
4.27266,-0.827,15.829,0.00
4.28282,-0.827,15.829,0.00
4.29298,-0.768,14.846,0.00
4.30313,-0.768,14.846,0.00
4.31345,-0.692,13.736,0.00
4.32379,-0.692,13.736,0.00
4.33420,-0.641,12.904,0.00
4.34436,-0.641,12.904,0.00
4.35456,-0.633,12.904,0.00
4.36472,-0.633,12.299,0.00
4.37508,-0.633,12.299,0.00
4.38542,-0.626,11.838,0.00
4.39580,-0.637,11.838,0.00
4.40613,-0.637,11.574,0.00
4.41629,-0.674,11.582,0.00
4.42645,-0.674,11.582,0.00
4.43661,-0.736,11.950,0.00
4.44677,-0.736,11.950,0.00
4.45695,-0.789,12.770,0.00
4.46718,-0.789,12.770,0.00
4.47734,-0.824,14.222,0.00
4.48750,-0.824,14.222,0.00
4.49766,-0.840,15.613,0.00
4.50781,-0.840,15.613,0.00
4.51795,-0.835,15.613,0.00
4.52817,-0.835,16.452,0.00
4.53834,-0.814,16.332,0.00
4.54855,-0.814,16.332,0.00
4.55924,-0.794,15.845,0.00
4.56942,-0.794,15.845,0.00
4.57958,-0.760,15.563,0.00
4.58973,-0.760,15.563,0.00
4.59989,-0.707,15.564,0.00
4.61009,-0.707,15.564,0.00
4.62020,-0.641,15.380,0.00
4.63036,-0.641,15.380,0.00
4.64067,-0.570,15.067,0.00
4.65139,-0.570,15.067,0.00
4.66155,-0.495,14.820,0.00
4.67175,-0.495,14.711,0.00
4.68192,-0.437,14.711,0.00
4.69209,-0.437,14.711,0.00
4.70225,-0.404,14.738,0.00
4.71241,-0.404,14.738,0.00
4.72256,-0.393,14.832,0.00
4.73272,-0.393,14.832,0.00
4.74287,-0.396,14.836,0.00
4.75302,-0.396,14.836,0.00
4.76320,-0.422,14.778,0.00
4.77352,-0.471,14.778,0.00
4.78390,-0.471,14.759,0.00
4.79420,-0.523,14.821,0.00
4.80453,-0.523,14.821,0.00
4.81486,-0.564,14.821,0.00
4.82519,-0.564,14.921,0.00
4.83536,-0.589,15.037,0.00
4.84557,-0.589,15.037,0.00
4.85602,-0.589,15.037,0.00
4.86640,-0.589,15.037,0.00
4.87659,-0.617,15.153,0.00
4.88680,-0.617,15.153,0.00
4.89706,-0.618,15.277,0.00
4.90727,-0.618,15.277,0.00
4.91762,-0.618,15.277,0.00
4.92779,-0.616,15.398,0.00
4.93806,-0.593,15.517,0.00
4.94848,-0.593,15.517,0.00
4.95869,-0.573,15.667,0.00
4.96894,-0.573,15.667,0.00
4.97914,-0.543,15.838,0.00
4.99026,-0.543,15.838,0.00
5.00062,-0.517,15.824,0.00
5.01079,-0.517,15.646,0.00
5.02105,-0.486,15.646,0.00
5.03124,-0.486,15.646,0.00
5.04153,-0.448,15.485,0.00
5.05169,-0.448,15.485,0.00
5.06187,-0.448,15.351,0.00
5.07203,-0.412,15.351,0.00
5.08219,-0.386,15.198,0.00
5.09235,-0.386,15.198,0.00
5.10251,-0.365,15.072,0.00
5.11267,-0.365,15.072,0.00
5.12283,-0.344,15.006,0.00
5.13299,-0.344,15.006,0.00
5.14314,-0.322,15.009,0.00
5.15330,-0.299,15.009,0.00
5.16346,-0.299,15.073,0.00
5.17366,-0.299,15.073,0.00
5.18382,-0.271,15.165,0.00
5.19398,-0.271,15.165,0.00
5.20414,-0.250,15.268,0.00
5.21430,-0.232,15.376,0.00
5.22447,-0.232,15.376,0.00
5.23463,-0.213,15.492,0.00
5.24479,-0.213,15.492,0.00
5.25521,-0.194,15.618,0.00
5.26537,-0.194,15.618,0.00
5.27575,-0.194,15.618,0.00
5.28629,-0.172,15.747,0.00
5.29670,-0.165,15.856,0.00
5.30821,-0.165,15.856,0.00
5.32529,-0.170,15.877,0.00
5.33597,-0.170,15.854,0.00
5.34740,-0.176,15.854,0.00
5.35776,-0.176,15.833,0.00
5.37328,-0.180,15.833,0.00
5.38531,-0.187,15.814,0.00
5.39545,-0.199,15.814,0.00
5.40709,-0.199,15.802,0.00
5.42175,-0.199,15.802,0.00
5.43348,-0.235,15.859,0.00
5.44369,-0.235,15.859,0.00
5.45612,-0.235,15.859,0.00
5.47148,-0.264,15.923,0.00
5.48729,-0.291,15.976,0.00
5.50315,-0.314,16.018,0.00
5.51754,-0.329,16.018,0.00
5.53332,-0.329,16.076,0.00
5.54506,-0.338,16.076,0.00
5.55523,-0.338,16.076,0.00
5.56542,-0.338,16.093,0.00
5.58113,-0.347,16.093,0.00
5.59302,-0.356,16.093,0.00
5.60640,-0.362,16.093,0.00
5.62219,-0.362,16.045,0.00
5.63355,-0.362,16.045,0.00
5.64913,-0.364,16.000,0.00
5.65929,-0.364,16.000,0.00
5.67575,-0.369,15.951,0.00
5.68674,-0.369,15.896,0.00
5.70260,-0.371,15.841,0.00
5.71287,-0.371,15.841,0.00
5.72332,-0.371,15.801,0.00
5.73591,-0.371,15.801,0.00
5.75199,-0.379,15.775,0.00
5.76244,-0.388,15.775,0.00
5.77274,-0.388,15.775,0.00
5.78448,-0.388,15.779,0.00
5.79513,-0.400,15.779,0.00
5.81162,-0.409,15.781,0.00
5.82787,-0.417,15.784,0.00
5.84412,-0.417,15.790,0.00
5.85702,-0.421,15.790,0.00
5.87311,-0.422,15.786,0.00
5.88434,-0.433,15.786,0.00
5.89483,-0.433,15.794,0.00
5.90562,-0.444,15.794,0.00
5.92602,-0.461,15.805,0.00
5.93818,-0.461,15.817,0.00
5.95148,-0.461,15.817,0.00
5.96186,-0.503,15.830,0.00
5.97227,-0.503,15.830,0.00
5.98328,-0.519,15.848,0.00
5.99358,-0.540,15.848,0.00
6.01569,-0.540,15.864,0.00
6.02586,-0.540,15.864,0.00
6.03709,-0.565,15.876,0.00
6.04792,-0.565,15.876,0.00
6.05830,-0.565,15.876,0.00
6.07855,-0.565,15.872,0.00
6.09444,-0.584,15.858,0.00
6.10536,-0.584,15.858,0.00
6.11627,-0.597,15.858,0.00
6.13252,-0.597,15.858,0.00
6.15335,-0.628,15.799,0.00
6.16408,-0.628,15.799,0.00
6.17932,-0.628,15.799,0.00
6.19228,-0.639,15.799,0.00
6.20371,-0.668,15.644,0.00
6.21387,-0.668,15.607,0.00
6.22404,-0.684,15.607,0.00
6.24352,-0.684,15.570,0.00
6.25375,-0.684,15.570,0.00
6.27564,-0.714,15.495,0.00
6.28588,-0.714,15.495,0.00
6.36136,-0.714,15.401,0.00
6.37175,-0.714,15.401,0.00
6.44491,-0.711,15.401,0.00
6.45574,-0.711,15.342,0.00
6.46652,-0.302,-0.503,0.00
6.47756,-0.305,-0.503,0.00
6.48771,-0.309,-0.499,0.00
6.49816,-0.315,-0.487,0.00
6.50832,-0.315,-0.487,0.00
6.51907,-0.317,-0.470,0.00
6.52925,-0.317,-0.470,0.00
6.53942,-0.320,-0.452,0.00
6.54956,-0.320,-0.452,0.00
6.55973,-0.320,-0.452,0.00
6.57000,-0.319,-0.439,0.00
6.58016,-0.316,-0.429,0.00
6.59031,-0.316,-0.429,0.00
6.60046,-0.316,-0.422,0.00
6.61080,-0.311,-0.416,0.00
6.62116,-0.305,-0.416,0.00
6.63141,-0.305,-0.414,0.00
6.64181,-0.299,-0.414,0.00
6.65196,-0.299,-0.414,0.00
6.66264,-0.294,-0.409,0.00
6.67283,-0.294,-0.409,0.00
6.68301,-0.288,-0.400,0.00
6.69350,-0.288,-0.400,0.00
6.70372,-0.283,-0.400,0.00
6.71390,-0.277,-0.395,0.00
6.72405,-0.277,-0.391,0.00
6.73422,-0.277,-0.391,0.00
6.74447,-0.272,-0.387,0.00
6.75473,-0.271,-0.394,0.00
6.76481,-0.271,-0.394,0.00
6.77504,-0.271,-0.401,0.00
6.78520,-0.271,-0.401,0.00
6.79536,-0.271,-0.401,0.00
6.80553,-0.274,-0.402,0.00
6.81568,-0.275,-0.406,0.00
6.82585,-0.275,-0.406,0.00
6.83601,-0.273,-0.412,0.00
6.84627,-0.273,-0.412,0.00
6.85656,-0.270,-0.423,0.00
6.86698,-0.270,-0.423,0.00
6.87736,-0.268,-0.439,0.00
6.88758,-0.268,-0.439,0.00
6.89783,-0.264,-0.454,0.00
6.90799,-0.264,-0.454,0.00
6.91839,-0.260,-0.461,0.00
6.92876,-0.260,-0.461,0.00
6.93898,-0.260,-0.461,0.00
6.94967,-0.255,-0.465,0.00
6.95996,-0.251,-0.468,0.00
6.97029,-0.251,-0.468,0.00
6.98048,-0.251,-0.470,0.00
6.99079,-0.254,-0.470,0.00
7.00105,-0.254,-0.467,0.00
7.01151,-0.263,-0.467,0.00
7.02183,-0.263,-0.464,0.00
7.03245,-0.270,-0.464,0.00
7.04262,-0.270,-0.462,0.00
7.05293,-0.271,-0.454,0.00
7.06333,-0.271,-0.454,0.00
7.07358,-0.271,-0.454,0.00
7.08375,-0.279,-0.442,0.00
7.09391,-0.284,-0.428,0.00
7.10407,-0.284,-0.428,0.00
7.11467,-0.289,-0.411,0.00
7.12498,-0.289,-0.411,0.00
7.13531,-0.289,-0.411,0.00
7.14569,-0.289,-0.393,0.00
7.15599,-0.294,-0.393,0.00
7.16615,-0.296,-0.378,0.00
7.17630,-0.300,-0.365,0.00
7.18650,-0.300,-0.365,0.00
7.19667,-0.304,-0.356,0.00
7.20682,-0.304,-0.356,0.00
7.21703,-0.308,-0.349,0.00
7.22718,-0.308,-0.349,0.00
7.23800,-0.314,-0.346,0.00
7.24817,-0.314,-0.346,0.00
7.25833,-0.322,-0.346,0.00
7.26854,-0.322,-0.346,0.00
7.27871,-0.332,-0.351,0.00
7.28971,-0.332,-0.351,0.00
7.29995,-0.338,-0.357,0.00
7.31011,-0.338,-0.357,0.00
7.32027,-0.345,-0.369,0.00
7.33053,-0.345,-0.369,0.00
7.34062,-0.352,-0.385,0.00
7.35078,-0.352,-0.402,0.00
7.36104,-0.357,-0.402,0.00
7.37120,-0.357,-0.423,0.00
7.38136,-0.358,-0.423,0.00
7.39153,-0.363,-0.423,0.00
7.40169,-0.363,-0.455,0.00
7.41189,-0.363,-0.455,0.00
7.42204,-0.371,-0.481,0.00
7.43220,-0.371,-0.481,0.00
7.44238,-0.380,-0.510,0.00
7.45253,-0.380,-0.510,0.00
7.46269,-0.387,-0.541,0.00
7.47285,-0.387,-0.541,0.00
7.48306,-0.387,-0.565,0.00
7.49321,-0.387,-0.593,0.00
7.50337,-0.391,-0.593,0.00
7.51459,-0.391,-0.593,0.00
7.52482,-0.389,-0.624,0.00
7.53498,-0.393,-0.652,0.00
7.54513,-0.393,-0.652,0.00
7.55529,-0.446,-0.677,0.00
7.56570,-0.446,-0.677,0.00
7.57588,-0.446,-0.677,0.00
7.58612,-0.523,-0.697,0.00
7.59633,-0.657,-0.714,0.00
7.60653,-0.657,-0.714,0.00
7.61667,-0.510,-0.729,0.00
7.62682,-0.510,-0.729,0.00
7.63704,-0.131,-0.740,0.00
7.64734,-0.131,-0.740,0.00
7.65773,0.235,-0.745,0.00
7.66790,0.235,-0.745,0.00
7.67807,0.969,-0.743,0.00
7.68824,0.969,-0.743,0.00
7.69839,1.859,-0.736,0.00
7.70878,1.859,-0.736,0.00
7.71894,3.017,-0.722,0.00
7.72973,3.017,-0.722,0.00
7.73999,4.526,-0.704,0.00
7.75024,4.526,-0.704,0.00
7.76153,6.236,-0.678,0.00
7.77193,6.236,-0.678,0.00
7.78227,8.137,-0.650,0.00
7.79293,8.137,-0.623,0.00
7.80797,10.257,-0.623,0.00
7.81815,12.599,-0.585,0.00
7.82831,12.599,-0.585,0.00
7.84028,12.599,-0.541,9.00
7.85047,15.521,-0.541,9.00
7.86083,18.718,-0.492,9.00
7.87268,21.733,-0.437,9.00
7.88301,21.733,-0.437,9.00
7.89334,24.540,-0.427,9.00
7.90421,24.540,-0.427,9.00
7.91453,24.540,-0.427,9.00
7.92489,24.540,-0.427,9.00
7.95561,31.023,-0.507,9.00
7.96577,31.023,-0.507,9.00
7.98455,31.023,-0.516,9.00
7.99482,32.492,-0.516,9.00
8.01642,33.760,-0.556,9.00
8.02670,34.422,-0.556,9.00
8.04822,34.215,-0.556,9.00
8.05853,33.360,-0.606,9.00
8.08028,33.360,-0.696,9.00
8.09069,31.927,-0.696,9.00
8.10108,29.803,-0.939,9.00
8.11275,26.961,-1.241,9.50
8.12328,26.961,-1.241,9.50
8.13344,26.961,-1.505,9.50
8.14502,24.102,-1.505,9.50
8.15516,21.328,-1.505,9.50
8.16531,21.328,-1.731,9.50
8.17727,18.258,-1.731,10.00
8.18743,18.258,-1.901,10.00
8.19760,18.258,-2.043,10.00
8.21044,15.564,-2.112,10.50
8.22061,12.827,-2.112,10.50
8.23080,12.827,-2.112,10.50
8.24103,9.732,-2.085,11.50
8.25133,9.732,-2.085,11.50
8.26149,6.674,-2.019,11.50
8.28902,3.857,-1.927,12.50
8.29926,1.300,-1.824,12.50
8.32097,1.300,-1.824,14.00
8.33122,-0.576,-1.722,14.00
8.35215,-0.527,-1.610,16.00
8.36232,-0.012,-1.532,16.00
8.38455,0.493,-1.532,17.50
8.39473,0.493,-1.476,17.50
8.41668,0.557,-1.410,19.50
8.42699,-0.054,-1.372,19.50
8.43718,-0.054,-1.372,19.50
8.44799,-0.489,-1.354,21.00
8.45817,-0.489,-1.354,21.00
8.46833,-0.596,-1.395,21.00
8.48099,-0.567,-1.495,22.00
8.49114,-0.546,-1.710,22.00
8.50131,-0.546,-1.710,22.00
8.51266,-0.534,-2.055,23.00
8.52307,-0.534,-2.055,23.00
8.53346,-0.534,-2.055,23.00
8.54406,-0.522,-2.445,23.50
8.55422,-0.522,-2.445,23.50
8.56438,-0.503,-2.933,23.50
8.59181,-0.503,-2.933,24.00
8.60199,-0.470,-4.141,24.00
8.62436,-0.470,-4.769,24.00
8.63464,-0.436,-5.432,24.00
8.65621,-0.367,-5.432,24.50
8.66639,-0.367,-6.155,24.50
8.68803,-0.367,-6.155,24.50
8.69842,-0.327,-7.711,24.50
8.72070,-0.327,-8.441,24.50
8.73119,-0.321,-9.083,24.50
8.74135,-0.318,-9.083,24.50
8.75203,-0.318,-9.083,24.50
8.76221,-0.319,-9.646,24.50
8.77239,-0.319,-9.646,24.50
8.78408,-0.328,-10.020,24.50
8.79425,-0.352,-10.020,24.50
8.80491,-0.352,-10.259,24.50
8.81618,-0.378,-10.259,24.50
8.82647,-0.378,-10.268,24.50
8.83667,-0.396,-9.983,24.50
8.84961,-0.396,-9.462,24.50
8.85993,-0.406,-9.462,24.50
8.87020,-0.406,-9.462,24.50
8.90051,-0.410,-7.720,24.50
8.91097,-0.410,-7.720,24.50
8.92865,-0.398,-6.599,24.50
8.93957,-0.370,-5.350,24.50
8.95988,-0.370,-5.350,24.50
8.97006,-0.342,-3.979,24.50
